,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,-21.2,-175.2,80.76,89,75,14.97
1,Mataura,NZ,-46.1927,168.8643,46.47,67,100,3.8
2,Ushuaia,AR,-54.8,-68.3,42.46,61,40,2.3
3,Hobart,AU,-42.8794,147.3294,53.26,68,75,6.91
4,Kruisfontein,ZA,-34.0033,24.7314,53.89,92,99,8.99
5,Hasaki,JP,35.7333,140.8333,93.29,81,91,24.61
6,Rikitea,PF,-23.1203,-134.9692,73.94,80,100,16.71
7,Santa Rosa,PH,14.3122,121.1114,85.98,80,100,2.55
8,Iqaluit,CA,63.7506,-68.5145,49.73,66,40,0.0
9,Bredasdorp,ZA,-34.5322,20.0403,51.13,80,60,8.84
10,Kapaa,US,22.0752,-159.319,84.18,79,100,13.8
11,Cape Town,ZA,-33.9258,18.4232,57.11,91,75,16.11
12,Raahe,FI,64.6833,24.4833,53.69,77,100,14.67
13,Mezinovskiy,RU,55.5042,40.3593,59.16,98,100,3.04
14,Sekoma,BW,-24.4,23.8833,52.57,32,0,4.27
15,Follonica,IT,42.9263,10.7616,78.46,63,0,6.46
16,Owatonna,US,44.0839,-93.226,74.35,83,0,3.44
17,Okha,RU,53.5739,142.9478,66.36,68,19,7.16
18,Hofn,IS,64.2539,-15.2082,52.03,93,86,19.93
19,Yellowknife,CA,62.456,-114.3525,66.72,52,75,17.27
20,São João da Barra,BR,-21.6403,-41.0511,70.74,92,53,9.53
21,Pop,UZ,40.8736,71.1089,72.09,58,93,4.74
22,Leningradskiy,RU,69.3833,178.4167,53.91,57,100,3.89
23,Naze,JP,28.3667,129.4833,85.12,69,7,4.09
24,Nabire,ID,-3.3667,135.4833,75.83,93,100,4.41
25,Dakar,SN,14.6937,-17.4441,82.53,83,40,4.61
26,Atuona,PF,-9.8,-139.0333,77.29,69,1,17.54
27,Thompson,CA,55.7435,-97.8558,55.56,94,75,11.5
28,Aasiaat,GL,68.7098,-52.8699,37.6,86,100,11.25
29,Smoky Lake,CA,54.1169,-112.4686,70.52,46,0,5.75
30,Provideniya,RU,64.3833,-173.3,48.36,87,75,15.99
31,Eureka,US,40.8021,-124.1637,70.2,76,39,2.82
